Function,Type,Description,Syntax
APPROXIMATEDISTINCTCOUNT,Aggregation,"Returns the approximate number of rows that contain distinct values in a column. This function can query large amounts of data with potentially better performance than DISTINCTCOUNT, with slight deviation from the exact result.",APPROXIMATEDISTINCTCOUNT(<columnName>)
AVERAGE,Aggregation,Returns the average (arithmetic mean) of all the numbers in a column.,AVERAGE(<column>)
AVERAGEA,Aggregation,Returns the average (arithmetic mean) of the values in a column. Handles text and non-numeric values.,AVERAGEA(<column>)
AVERAGEX,Aggregation,Calculates the average (arithmetic mean) of a set of expressions evaluated over a table.,"AVERAGEX(<table>,<expression>)"
COUNT,Aggregation,Counts the number of rows in the specified column that contain non-blank values.,COUNT(<column>)
COUNTA,Aggregation,Counts the number of rows in the specified column that contain non-blank values.,COUNTA(<column>)
COUNTAX,Aggregation,"The COUNTAX function counts non-blank results when evaluating the result of an expression over a table. That is, it works just like the COUNTA function, but is used to iterate through the rows in a table and count rows where the specified expressions results in a non-blank result.","COUNTAX(<table>,<expression>)"
COUNTBLANK,Aggregation,Counts the number of blank cells in a column.,COUNTBLANK(<column>)
COUNTROWS,Aggregation,"The COUNTROWS function counts the number of rows in the specified table, or in a table defined by an expression.",COUNTROWS([<table>])
COUNTX,Aggregation,"Counts the number of rows that contain a non-blank value or an expression that evaluates to a non-blank value, when evaluating an expression over a table.","COUNTX(<table>,<expression>)"
DISTINCTCOUNT,Aggregation,Counts the number of distinct values in a column.,DISTINCTCOUNT(<column>)
DISTINCTCOUNTNOBLANK,Aggregation,Counts the number of distinct values in a column.,DISTINCTCOUNTNOBLANK (<column>)
MAX,Aggregation,"Returns the largest value in a column, or between two scalar expressions.","MAX(<column>) OR, MAX(<expression1>, <expression2>)"
MAXA,Aggregation,Returns the largest value in a column.,MAXA(<column>)
MAXX,Aggregation,Evaluates an expression for each row of a table and returns the largest value.,"MAXX(<table>,<expression>)"
MIN,Aggregation,"Returns the smallest value in a column, or between two scalar expressions.","MIN(<column>) OR, MIN(<expression1>, <expression2>)"
MINA,Aggregation,Returns the smallest value in a column.,MINA(<column>)
MINX,Aggregation,Returns the smallest value that results from evaluating an expression for each row of a table.,"MINX(<table>, < expression>)"
PRODUCT,Aggregation,Returns the product of the numbers in a column.,PRODUCT(<column>)
PRODUCTX,Aggregation,Returns the product of an expression evaluated for each row in a table.,"PRODUCTX(<table>, <expression>)"
SUM,Aggregation,Adds all the numbers in a column.,SUM(<column>)
SUMX,Aggregation,Returns the sum of an expression evaluated for each row in a table.,"SUMX(<table>, <expression>)"
CALENDAR,Date & Time,"Returns a table with a single column named ""Date"" that contains a contiguous set of dates. The range of dates is from the specified start date to the specified end date, inclusive of those two dates.","CALENDAR(<start_date>, <end_date>)"
CALENDARAUTO,Date & Time,"Returns a table with a single column named ""Date"" that contains a contiguous set of dates. The range of dates is calculated automatically based on data in the model.",CALENDARAUTO([fiscal_year_end_month])
DATE,Date & Time,Returns the specified date in datetime format.,"DATE(<year>, <month>, <day>)"
DATEDIFF,Date & Time,Returns the number of interval boundaries between two dates.,"DATEDIFF(<Date1>, <Date2>, <Interval>)"
DATEVALUE,Date & Time,Converts a date in text format to a date in datetime format.,DATEVALUE(date_text)
DAY,Date & Time,"Returns the day of the month, a number from 1 to 31.",DAY(<date>)
EDATE,Date & Time,Returns the date that is the indicated number of months before or after the start date. Use EDATE to calculate maturity dates or due dates that fall on the same day of the month as the date of issue.,"EDATE(<start_date>, <months>)"
EOMONTH,Date & Time,"Returns the date in datetime format of the last day of the month, before or after a specified number of months. Use EOMONTH to calculate maturity dates or due dates that fall on the last day of the month.","EOMONTH(<start_date>, <months>)"
